| 0000h | 10000100 | (84h)
| 0001h | 01100011 | (63h)
| 0002h | 10011101 | (9Dh)
| 0003h | 10011101 | (9Dh)
| 0004h | 11110010 | (F2h)
| 0005h | 11110111 | (F7h)
| 0006h | 00010011 | (13h)
| 0007h | 01001111 | (4Fh)
| 0008h | 00001101 | (0Dh)
| 0009h | 00000000 | (00h)
| 000Ah | 10010100 | (94h)
| 000Bh | 01011110 | (5Eh)
| 000Ch | 11001011 | (CBh)
| 000Dh | 00001111 | (0Fh)
| 000Eh | 11100010 | (E2h)
| 000Fh | 11010010 | (D2h)
| 0010h | 01000010 | (42h)
| 0011h | 11000001 | (C1h)
| 0012h | 11100010 | (E2h)
| 0013h | 10101001 | (A9h)
| 0014h | 00111011 | (3Bh)
| 0015h | 11000110 | (C6h)
| 0016h | 00011010 | (1Ah)
| 0017h | 10001011 | (8Bh)
| 0018h | 00000011 | (03h)
| 0019h | 00011001 | (19h)
| 001Ah | 11011010 | (DAh)
| 001Bh | 11010100 | (D4h)
| 001Ch | 01110011 | (73h)
| 001Dh | 11000101 | (C5h)
| 001Eh | 10000100 | (84h)
| 001Fh | 10101111 | (AFh)
| 0020h | 10010010 | (92h)
| 0021h | 01110001 | (71h)
| 0022h | 11110110 | (F6h)
| 0023h | 10010011 | (93h)
| 0024h | 11101100 | (ECh)
| 0025h | 00111010 | (3Ah)
| 0026h | 01001111 | (4Fh)
| 0027h | 01010011 | (53h)
| 0028h | 10011000 | (98h)
| 0029h | 11101000 | (E8h)
| 002Ah | 00001101 | (0Dh)
| 002Bh | 11100010 | (E2h)
| 002Ch | 00111001 | (39h)
| 002Dh | 01000000 | (40h)
| 002Eh | 00100110 | (26h)
| 002Fh | 10010000 | (90h)
| 0030h | 01001100 | (4Ch)
| 0031h | 00001110 | (0Eh)
| 0032h | 00000011 | (03h)
| 0033h | 11101101 | (EDh)
| 0034h | 00111000 | (38h)
| 0035h | 00100101 | (25h)
| 0036h | 00000111 | (07h)
| 0037h | 10111101 | (BDh)
| 0038h | 10010111 | (97h)
| 0039h | 11100001 | (E1h)
| 003Ah | 00010101 | (15h)
| 003Bh | 10011010 | (9Ah)
| 003Ch | 01011110 | (5Eh)
| 003Dh | 00100100 | (24h)
| 003Eh | 01000001 | (41h)
| 003Fh | 01010111 | (57h)
| 0040h | 10011001 | (99h)
| 0041h | 00111011 | (3Bh)
| 0042h | 10001001 | (89h)
| 0043h | 00111000 | (38h)
| 0044h | 01001011 | (4Bh)
| 0045h | 00001000 | (08h)
| 0046h | 01011110 | (5Eh)
| 0047h | 11110110 | (F6h)
| 0048h | 01011000 | (58h)
| 0049h | 00100011 | (23h)
| 004Ah | 11000110 | (C6h)
| 004Bh | 01110000 | (70h)
| 004Ch | 00010101 | (15h)
| 004Dh | 01000100 | (44h)
| 004Eh | 01000010 | (42h)
| 004Fh | 01011001 | (59h)
| 0050h | 10010100 | (94h)
